sequence,id,name,original_title,category,state,reason_code,reason,duplicate_of,related_retained_ids,saved_question,source,url
352,TCS-0961,Clifford-algebra applications in graph streams,Applications of Clifford Algebras in Graph Streams,"Distributed, parallel and sublinear algorithms",quarantined,individual_review,Hledání aplikací konkrétní algebraické techniky je výzkumný směr; neurčuje grafovou úlohu ani cílovou prostorovou mez.,,,Applications of Clifford Algebras in Graph Streams,Sublinear.info,https://sublinear.info/index.php?title=Open_Problems:55
353,TCS-0971,Graph frequency vectors,Graph Frequency Vectors,"Distributed, parallel and sublinear algorithms",quarantined,individual_review,"Název označuje reprezentaci dat, ale nepožadovanou operaci, chybu nebo zdrojovou hranici; není z něj samostatný hodnotitelný problém.",,,Graph Frequency Vectors,Sublinear.info,https://sublinear.info/index.php?title=Open_Problems:42
354,TCS-0972,Rank lower bound,Rank Lower Bound,"Distributed, parallel and sublinear algorithms",quarantined,individual_review,"Bez určení matice, modelu nebo požadované meze nelze odlišit tuto položku od řady zásadních, ale již konkrétně zastoupených rankových otázek.",,,Rank Lower Bound,Sublinear.info,https://sublinear.info/index.php?title=Open_Problems:43
355,TCS-0999,The massive unordered distributed-data model,"The Massive, Unordered, Distributed-Data Model","Distributed, parallel and sublinear algorithms",quarantined,individual_review,Záznam představuje výpočetní model místo jedné otázky o jeho síle; do benchmarku mají patřit přesné separace a algoritmické cíle.,,,"The Massive, Unordered, Distributed-Data Model",Sublinear.info,https://sublinear.info/index.php?title=Open_Problems:17
356,TCS-1244,Streaming four length-three permutation patterns,"The space complexity of π-PPMn is Θ( e √n) for π ∈ {312, 132, 213, 231}.","Distributed, parallel and sublinear algorithms",quarantined,individual_review,Čtveřice konkrétních vzorů a odmocninová prostorová mez tvoří úzký případ; obecná klasifikace streamingových vzorů má přednost.,,,"The space complexity of π-PPMn is Θ( e √n) for π ∈ {312, 132, 213, 231}.",Permutation Patterns in Streams,https://doi.org/10.4230/LIPIcs.ICALP.2026.25
357,TCS-1417,Catalytic exact heavy hitters in constant passes,Can heavy hitters be computed exactly using a constant number of passes in the catalytic model?,"Distributed, parallel and sublinear algorithms",quarantined,individual_review,"Kombinuje katalytickou paměť, přesnost a konstantní počet průchodů; standardní heavy-hitters a katalytické prostorové bariéry jsou zásadnější.",,,Can heavy hitters be computed exactly using a constant number of passes in the catalytic model?,Streaming with Catalytic Memory,https://doi.org/10.4230/LIPIcs.ESA.2026.70
358,TCS-1772,Definition principles linking output length to time,Are there definition principles that relate the length |f (α)| to the number of steps it takes to compute f (α)?,"Distributed, parallel and sublinear algorithms",quarantined,individual_review,Hledání definic pro jednu koinduktivní reprezentaci neudává tvrzení ani cílovou složitost; jde o návrh formalismu.,,,Are there definition principles that relate the length |f (α)| to the number of steps it takes to compute f (α)?,A Coinductive Representation of Computable Functions,https://doi.org/10.4230/LIPIcs.CALCO.2025.7
359,TCS-1779,Faster radio MIS at optimal energy,Can we improve the round complexity in the CD model while getting the optimal O(log n) energy bound?,"Distributed, parallel and sublinear algorithms",quarantined,individual_review,Žádá další zrychlení při pevné energetické záruce v modelu s detekcí kolizí; hlavní MIS a radio-network bariéry mají přednost.,,,Can we improve the round complexity in the CD model while getting the optimal O(log n) energy bound?,Energy-Efficient Maximal Independent Sets in Radio Networks,https://doi.org/10.4230/LIPIcs.DISC.2025.14
360,TCS-1834,Gossip time with optimally short labels,What is the time of the fastest gossiping algorithm using a labeling scheme of optimal length O(log ∆)?,"Distributed, parallel and sublinear algorithms",quarantined,individual_review,Optimalita času při přesně omezené délce dodatečných značek je specifický kompromis jednoho rádiového modelu.,,,What is the time of the fastest gossiping algorithm using a labeling scheme of optimal length O(log ∆)?,Optimal-Length Labeling Schemes for Fast Deterministic Communication in Radio Networks,https://doi.org/10.4230/LIPIcs.OPODIS.2025.14
361,TCS-1937,Log-k optimality of colorability certificates,Is Θ(log k) optimal for k-colorability certification?,"Distributed, parallel and sublinear algorithms",quarantined,individual_review,Přesná závislost certifikátu na počtu barev je jemnější než obecná síla a prostorová složitost distribuovaných důkazů.,,,Is Θ(log k) optimal for k-colorability certification?,"Local Certification of Local Properties: Tight Bounds, Trade-Offs and New Parameters",https://doi.org/10.4230/LIPIcs.STACS.2024.21
362,TCS-2117,Termination of content-oblivious ring leader election,"Our content-oblivious leader election for non-oriented rings does not terminate, and we conjecture that this is inherent to the model.","Distributed, parallel and sublinear algorithms",quarantined,individual_review,Nemožnost ukončení je vázána na obsahovou slepotu a neorientovaný kruh; obecné leader-election bariéry mají větší dosah.,,,"Our content-oblivious leader election for non-oriented rings does not terminate, and we conjecture that this is inherent to the model.",Content-Oblivious Leader Election on Rings,https://doi.org/10.4230/LIPIcs.DISC.2024.26
363,TCS-2235,Light colors for crash-tolerant robot exploration,What is the minimum number of colors to achieve perpetual exploration with optimal number of robots?,"Distributed, parallel and sublinear algorithms",quarantined,individual_review,Minimalizace světelných stavů robotů na kruhu při optimálním počtu agentů je vysoce specializovaný robotický model.,,,What is the minimum number of colors to achieve perpetual exploration with optimal number of robots?,Crash-Tolerant Perpetual Exploration with Myopic Luminous Robots on Rings,https://doi.org/10.4230/LIPIcs.OPODIS.2024.12
364,TCS-2469,Finite-memory stabilization of FGC and FR,It is an open problem whether a stabilizing algorithm for FGC or FR can use a finite amount of memory with no knowledge of T […],"Distributed, parallel and sublinear algorithms",quarantined,individual_review,"Kombinuje anonymitu, dynamickou nesouvislost a neznámý časový parametr; jde o konkrétní režim dvou síťových úloh.",,,It is an open problem whether a stabilizing algorithm for FGC or FR can use a finite amount of memory with no knowledge of T […],Optimal Computation in Leaderless and Multi-Leader Disconnected Anonymous Dynamic Networks,https://doi.org/10.4230/LIPIcs.DISC.2023.18
365,TCS-2632,Some cost of the consensus binding property,"An intriguing open question is whether there is an inherent cost for satisfying the binding property: is there some measure, perhaps time, in which solving […]","Distributed, parallel and sublinear algorithms",quarantined,individual_review,Otázka ani nevolí měřený zdroj. Hledání nějaké ceny vlastnosti není jedna přesně stanovená konsenzuální bariéra.,,,"An intriguing open question is whether there is an inherent cost for satisfying the binding property: is there some measure, perhaps time, in which solving […]",Multi-Valued Connected Consensus: A New Perspective on Crusader Agreement and Adopt-Commit,https://doi.org/10.4230/LIPIcs.OPODIS.2023.6
366,TCS-2902,Streaming distance to a fixed number of cliques,What is the streaming complexity of computing Distance to ℓ Cliques?,"Distributed, parallel and sublinear algorithms",quarantined,individual_review,"Vzdálenost k právě danému počtu klik je specifická parametrická grafová úloha, nikoli hlavní streamingový problém.",,,What is the streaming complexity of computing Distance to ℓ Cliques?,Parameterized Complexity of Streaming Diameter and Connectivity Problems,https://doi.org/10.4230/LIPIcs.IPEC.2022.24
367,TCS-2945,Optimal line formation by population protocols,"We conjecture that our line formation protocol is optimal, i.e., no population protocol can construct a line containing all agents in parallel time o(n log […]","Distributed, parallel and sublinear algorithms",quarantined,individual_review,Dorovnává čas jedné self-assembly konstrukce; obecná výpočetní síla a hlavní časoprostorové bariéry population protocols mají přednost.,,,"We conjecture that our line formation protocol is optimal, i.e., no population protocol can construct a line containing all agents in parallel time o(n log […]","Brief Announcement: New Clocks, Fast Line Formation and Self-Replication Population Protocols",https://doi.org/10.4230/LIPIcs.DISC.2022.44
368,TCS-2998,Testable nonsymmetric cellular rules without shift convergence,Are there any non-symmetric rules that do not ultimately converge up to a shift and are poly(1/ϵ)-testable?,"Distributed, parallel and sublinear algorithms",quarantined,individual_review,Hledá příklad splňující několik zvláštních dynamických a testovacích podmínek; obecná testovatelnost dynamických systémů je širší.,,,Are there any non-symmetric rules that do not ultimately converge up to a shift and are poly(1/ϵ)-testable?,Testing Dynamic Environments: Back to Basics,https://doi.org/10.4230/LIPIcs.ICALP.2021.98
369,TCS-3020,A stencil separating visible rank over every field,"In other words, does there exist a stencil 𝐻 such that rkF (𝐻) > Υ(𝐻) for every field F?","Distributed, parallel and sublinear algorithms",quarantined,individual_review,Konkrétní matriční vzor je pomocnou konstrukcí pro jednu rankovou míru; obecné rankové a kódové bariéry mají větší význam.,,,"In other words, does there exist a stencil 𝐻 such that rkF (𝐻) > Υ(𝐻) for every field F?",Visible Rank and Codes with Locality,https://doi.org/10.4230/LIPIcs.APPROX/RANDOM.2021.57
